"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate","status"
"Hay",27.192386,956,926,950,903,5.14166355650266,5.25749537202778,6.80572255341699,3.30293700764464,"Actual"
"Hilltops",26.450511,954,929,974,927,5.15329159449778,5.12396397940326,6.83195356556585,3.27527547758839,"Actual"
"Hornsby",18.176,1082,1116,1082,1121,3.80666248977032,4.0943445622221,7.02197642307216,2.90010204253874,"Actual"
"Hunters Hill",26.847194,1101,1156,1088,1163,3.25809653802148,3.98898404656427,7.05875815251866,3.290161308976,"Actual"
"Inner West",17.98929,1057,1118,993,1141,4.24849524204936,5.00394630594546,7.03966034986208,2.88977658081342,"Actual"
"Inverell",38.933644,928,906,950,899,5.29330482472449,5.25749537202778,6.80128303447162,3.66185876114624,"Actual"
"Junee",21.838704,934,918,977,904,5.26269018890489,5.10594547390058,6.80682936039218,3.08368380845664,"Actual"
"Kempsey",37.601448,903,881,943,882,5.41164605185504,5.29330482472449,6.78219205600679,3.62704256029263,"Actual"
"Kiama",17.705952,1070,1061,1062,1058,4.04305126783455,4.38202663467388,6.96413561241824,2.87390085423974,"Actual"
"Ku-ring-gai",10.524315,1108,1165,1117,1174,2.94443897916644,3.2188758248682,7.06817200038804,2.35368829431505,"Actual"
"Kyogle",19.288986,921,906,950,929,5.32787616878958,5.25749537202778,6.83410873881384,2.95953425943957,"Actual"
"Lachlan",63.257998,950,936,957,944,5.17614973257383,5.22035582507832,6.8501261661455,4.14722157020631,"Actual"
"Lake Macquarie",25.105087,1004,981,1011,963,4.81218435537242,4.87519732320115,6.87005341179813,3.22307049492579,"Actual"
"Lane Cove",9.1023716,1105,1162,1058,1180,3.09104245335832,4.43081679884331,7.07326971745971,2.20853499495313,"Actual"
"Leeton",27.855159,949,922,979,896,5.18178355029209,5.09375020080676,6.79794041297493,3.32701819158788,"Actual"
"Lismore",28.441091,966,945,970,959,5.08140436498446,5.14749447681345,6.86589107488344,3.34783496566199,"Actual"
"Lithgow",31.198297,935,912,960,889,5.25749537202778,5.2040066870768,6.7900972355139,3.44036350999238,"Actual"
"Liverpool",18.994325,931,968,999,976,5.27811465923052,4.96284463025991,6.88346258641309,2.9441402503409,"Actual"
"Liverpool Plains",20.676645,926,905,951,896,5.30330490805908,5.25227342804663,6.79794041297493,3.02900480243631,"Actual"
"Lockhart",13.249288,976,950,1002,961,5.01727983681492,4.9416424226093,6.86797440897029,2.58394381513935,"Actual"
"Maitland",22.53829,988,963,1015,934,4.93447393313069,4.84418708645859,6.83947643822884,3.11521564060507,"Actual"
"Mid-Coast",40.796006,943,912,963,905,5.21493575760899,5.18738580584075,6.80793494369993,3.7085841844615,"Actual"
"Mid-Western Regional",29.073207,979,949,1002,919,4.99721227376411,4.9416424226093,6.82328612235569,3.36981702840343,"Actual"
"Moree Plains",30.01654,940,932,946,927,5.23110861685459,5.27811465923052,6.83195356556585,3.40174856306711,"Actual"
"Murray River",31.369264,998,965,1007,940,4.85981240436167,4.90527477843843,6.84587987526405,3.44582856002107,"Actual"
"Murrumbidgee",19.952125,983,951,988,937,4.969813299576,5.03695260241363,6.84268328223842,2.99333565395414,"Actual"
"Muswellbrook",24.239486,937,908,972,862,5.24702407216049,5.13579843705026,6.75925527066369,3.18798295635583,"Actual"
"Nambucca Valley",35.835899,920,898,946,906,5.33271879326537,5.27811465923052,6.80903930604298,3.57895015633645,"Actual"
"Narrabri",31.50131,964,936,975,912,5.09375020080676,5.11799381241676,6.81563999007433,3.45002913226845,"Actual"
"Narrandera",75.697049,929,910,950,907,5.28826703069454,5.25749537202778,6.81014245011514,4.3267391768566,"Actual"
"Narromine",36.157647,958,934,980,929,5.12989871492307,5.08759633523238,6.83410873881384,3.58788846150405,"Actual"
"Newcastle",28.580157,1012,1012,976,1023,4.74493212836325,5.11198778835654,6.93049476595163,3.35271266583863,"Actual"
"North Sydney",7.3833948,1096,1164,985,1193,3.43398720448515,5.05624580534831,7.08422642209792,1.99923353284482,"Actual"
"Northern Beaches",11.600789,1089,1125,1087,1109,3.63758615972639,4.00733318523247,7.01121398735037,2.45107311304063,"Actual"
"Oberon",42.474403,978,948,1007,928,5.00394630594546,4.90527477843843,6.8330317327862,3.74890161213256,"Actual"
"Orange",29.630377,997,979,994,972,4.86753445045558,4.99721227376411,6.87935580446044,3.38880008509548,"Actual"
"Parkes",54.344475,946,922,959,914,5.19849703126583,5.20948615284142,6.81783057145415,3.99534295246614,"Actual"
"Parramatta",12.96178,1029,1070,983,1097,4.58496747867057,5.06890420222023,7.00033446027523,2.56200502717209,"Actual"
"Penrith",16.902733,991,981,1015,949,4.91265488573605,4.84418708645859,6.85540879860993,2.82747532483074,"Actual"
